# One-line drawing coordinates
# Format: x,y
452.46,371.42
442.63,368.13
432.75,365.01
422.98,361.48
412.98,358.82
403.04,355.93
393.14,352.92
383.22,349.94
373.17,347.45
363.22,344.59
353.05,342.55
343.01,340.07
332.92,337.73
322.72,335.80
312.60,333.56
302.59,330.94
292.33,329.24
282.36,326.46
272.24,324.26
262.09,322.14
252.11,319.39
242.11,316.73
232.02,314.41
222.16,311.21
212.15,308.57
202.47,303.77
196.70,312.49
191.10,321.32
184.98,329.83
179.43,338.68
174.26,347.76
168.95,356.75
165.50,366.78
171.69,375.47
178.11,383.96
184.81,392.21
191.39,400.56
198.52,408.43
207.09,414.85
203.10,425.08
199.58,435.43
197.08,446.04
194.42,456.61
193.35,467.59
191.39,478.34
190.27,489.30
187.96,499.97
183.14,509.77
175.53,501.98
167.96,494.15
159.91,486.87
151.39,480.14
142.56,473.77
133.47,467.70
125.56,460.44
126.67,449.35
124.46,438.48
136.44,444.35
149.76,446.32
155.85,437.72
162.05,429.19
167.78,420.37
173.89,411.79
177.08,401.54
177.70,390.87
177.92,380.22
177.75,369.59
177.65,358.96
177.12,348.34
175.84,337.77
173.72,327.37
181.98,320.16
190.36,313.06
198.19,305.44
205.36,297.18
212.21,288.60
218.65,279.63
225.48,271.04
232.80,262.91
240.72,255.39
249.65,248.80
261.35,243.45
270.23,234.00
280.89,227.23
286.99,219.20
292.44,210.51
301.65,217.46
311.61,222.86
322.28,226.82
333.38,229.86
344.18,233.54
353.24,240.28
354.71,230.19
356.46,220.13
356.92,209.72
349.17,202.20
341.06,195.12
332.95,188.05
323.02,183.06
333.63,175.66
340.52,164.66
337.28,151.22
331.29,139.01
322.33,146.59
314.91,155.37
309.70,165.78
296.43,170.28
284.33,177.00
279.52,167.42
274.39,158.04
268.80,148.96
261.39,140.81
271.82,143.49
282.85,143.65
286.47,133.29
289.99,122.91
293.10,112.42
295.40,101.72
296.44,90.43
305.88,99.65
318.39,104.40
328.45,112.73
341.28,111.38
352.90,105.77
348.92,116.17
347.37,127.36
357.17,134.62
368.29,139.13
379.69,142.79
373.69,153.49
371.53,165.38
361.79,162.19
352.33,158.17
342.70,154.64
333.02,151.28
323.49,147.46
313.76,144.25
303.33,142.75
301.82,153.84
300.39,164.93
300.64,176.07
302.09,187.05
290.58,186.27
279.13,186.42
268.01,189.42
260.10,197.34
253.08,205.90
248.42,216.15
248.40,201.87
245.59,187.86
237.03,179.12
226.02,173.49
238.39,175.10
250.42,172.77
262.60,170.39
256.14,161.77
249.56,153.25
241.02,146.64
240.47,133.46
236.03,121.06
247.90,122.44
259.64,119.86
270.88,117.09
280.53,110.61
292.64,117.35
305.92,121.45
298.22,112.13
288.69,105.04
277.62,99.82
269.13,91.34
259.33,93.62
249.52,95.83
239.47,91.68
229.27,88.04
218.94,84.85
208.50,82.11
197.89,79.96
187.16,78.24
176.56,75.63
184.73,69.00
192.45,61.91
200.07,54.73
208.01,47.88
215.31,40.36
222.88,33.14
230.19,25.64
237.12,17.77
243.37,9.30
253.54,9.40
263.69,9.87
273.84,10.40
284.00,10.87
294.14,11.64
304.30,12.09
314.46,12.45
324.62,12.62
334.76,13.44
344.93,13.47
355.08,14.03
365.24,14.22
375.40,14.75
385.55,15.11
395.71,15.23
405.88,15.17
416.04,15.30
426.20,15.82
436.36,16.00
446.45,13.72
439.64,22.01
432.62,30.14
425.76,38.38
419.26,46.90
413.13,55.69
407.87,65.11
402.38,74.36
396.76,83.53
391.02,92.60
385.17,101.58
378.86,110.24
370.22,117.49
374.29,127.07
378.10,136.77
381.40,146.70
385.50,156.27
389.57,165.86
393.65,175.44
399.76,184.06
401.89,193.98
403.71,203.96
405.81,213.88
407.41,223.91
409.44,233.85
411.27,243.82
413.08,253.81
415.05,263.76
416.95,273.72
418.56,283.75
420.88,293.62
422.61,303.62
424.62,313.56
426.80,323.47
428.39,333.50
430.77,343.36
432.30,353.40
434.79,363.25
436.52,373.24
438.52,383.19
441.05,393.02
443.22,402.93
445.11,412.90
447.55,422.75
451.08,432.34
451.16,446.54
452.89,460.65
454.76,449.08
454.35,437.57
452.47,426.09
450.43,414.62
449.31,403.12
451.21,391.55
